"노드링크 유형","노드 WKT","노드 ID","노드 유형 코드","링크 WKT","링크 ID","링크 유형 코드","시작노드 ID","종료노드 ID","링크 길이","시군구코드","시군구명","읍면동코드","읍면동명","고가도로","지하철네트워크","교량","터널","육교","횡단보도","공원,녹지","건물내"
"NODE","POINT(126.9677377783436 37.55508544895619)","14445","0","","0","","","","","1114000000","중구","1114017300","만리동1가","","","","","1","0","",""
"NODE","POINT(126.96791606749139 37.55519566940148)","14446","0","","0","","","","","1114000000","중구","1114017300","만리동1가","","","","","0","0","",""
"NODE","POINT(126.96752487453851 37.55576769593273)","14447","0","","0","","","","","1114000000","중구","1114017300","만리동1가","","","","","0","0","",""
"NODE","POINT(126.96767348873279 37.55523680619834)","14448","0","","0","","","","","1114000000","중구","1114017300","만리동1가","","","","","0","0","",""
"NODE","POINT(127.0113496275716 37.56381585717685)","74030","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00322929250603 37.56127036751132)","71962","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.00393646636044 37.56063184565626)","71963","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.00368921901578 37.56034121006895)","71964","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.0036317306318 37.56049454350123)","71965","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.00345350197189 37.560684497006854)","71966","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.00368923278228 37.56062041098037)","71967","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.00370648340846 37.56065702695213)","71968","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.00590297046612 37.562396221624766)","71969","0","","0","","","","","1114000000","중구","1114014700","쌍림동","","","","","0","0","",""
"NODE","POINT(127.00401707632936 37.5627830626333)","71972","0","","0","","","","","1114000000","중구","1114014700","쌍림동","","","","","0","0","",""
"NODE","POINT(127.00403719410373 37.56266405832508)","71973","0","","0","","","","","1114000000","중구","1114014700","쌍림동","","","","","0","0","",""
"NODE","POINT(127.0043419394133 37.562801359382426)","71974","0","","0","","","","","1114000000","중구","1114014700","쌍림동","","","","","0","0","",""
"NODE","POINT(127.0072714407425 37.562725693774006)","71976","0","","0","","","","","1114000000","중구","1114014300","장충동1가","","","","","0","0","",""
"NODE","POINT(127.00630547834238 37.56270515253399)","71977","0","","0","","","","","1114000000","중구","1114014700","쌍림동","","","","","0","0","",""
"NODE","POINT(127.00604097809807 37.562567854490396)","71978","0","","0","","","","","1114000000","중구","1114014700","쌍림동","","","","","0","0","",""
"NODE","POINT(127.00741398777238 37.548331626629015)","74178","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"LINK","","0","","LINESTRING(127.01891905401234 37.56857841210036,127.01892485344392 37.56877293612298)","171074","1111","72234","9073","21.5960","1114000000","중구","1114016500","황학동","0","0","0","0","0","0","0","0"
"NODE","POINT(127.00510893560875 37.55403853634757)","73885","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00535614634808 37.55403165978854)","73886","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00528430120775 37.554294844495324)","73887","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00506009411315 37.554420723711026)","73888","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00482148938802 37.55417357197307)","73889","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.00525550836862 37.55362201660873)","73890","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00577584727066 37.554249050783895)","73891","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00623291979394 37.55446414977802)","73892","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00631053576508 37.554496185136806)","73893","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
