node_key,cctv,Roadside,Children,Alcol,Bus
152518,0,0,0,0,0
152519,0,0,0,0,0
152520,1,0,0,0,0
152521,0,0,0,0,0
152522,1,0,0,0,0
152523,1,0,0,0,0
152525,1,0,0,0,0
152526,1,0,0,0,0
175185,2,0,0,0,0
175186,0,0,0,0,1
175195,0,0,0,0,0
175196,2,0,0,0,0
132996,0,1,0,0,1
175197,0,0,0,0,1
175199,0,0,0,0,1
152527,1,0,0,0,0
152528,1,0,0,0,0
152529,1,0,0,0,0
152530,0,0,0,0,0
152531,1,0,0,0,0
152532,1,0,0,0,0
152533,1,0,0,0,0
152534,1,0,0,0,0
152535,1,0,0,0,0
152536,2,0,0,0,0
166977,0,0,0,0,0
166980,0,0,0,0,0
166982,0,0,0,0,0
152537,0,0,0,0,0
152538,1,0,0,0,0
152539,1,0,0,0,0
152540,1,0,0,1,0
152541,0,0,0,1,0
152542,1,0,0,0,0
152543,0,0,0,0,0
152544,1,0,0,0,0
152545,1,0,0,0,0
152546,1,0,0,0,0
152547,1,0,0,0,0
152548,0,0,0,0,0
152549,1,0,0,0,0
166983,0,0,0,0,1
166984,0,0,0,0,0
166986,0,0,0,0,0
152550,0,0,0,0,0
152551,0,0,0,0,0
152552,0,0,0,0,0
152553,0,0,0,0,0
166987,0,0,0,0,0
166989,0,0,0,0,0
166994,0,0,0,0,0
166997,0,2,0,0,0
132888,0,0,0,0,0
167273,0,0,0,2,2
167274,1,0,0,0,0
167277,0,2,0,1,2
167278,0,2,0,1,2
167279,0,2,0,0,2
167280,0,0,0,2,0
167000,0,0,0,0,0
167001,0,1,0,0,0
133913,1,0,0,0,0
167281,1,0,0,0,1
128473,0,0,0,0,0
167282,0,3,0,0,0
99510,0,0,0,0,0
167283,2,1,0,0,0
167284,0,0,0,0,0
167285,0,0,0,0,0
167286,0,1,0,0,0
133879,1,0,0,0,1
167287,1,1,0,0,0
167288,1,2,0,0,0
167005,0,1,0,0,0
167289,1,1,0,0,0
167290,1,1,0,5,0
155801,0,0,0,2,1
167292,2,0,0,0,2
155802,2,0,0,0,0
133878,1,0,0,0,1
155803,1,0,0,2,0
167293,1,0,0,0,0
167294,1,1,0,0,0
167295,1,1,0,0,0
132825,0,0,0,0,0
167009,0,0,0,2,0
167011,2,0,1,0,0
167012,2,0,1,0,0
167296,3,0,0,0,0
167298,0,1,0,1,1
133366,0,0,0,0,0
167299,0,1,0,0,0
155804,2,0,0,2,0
